Tier,区分,証券コード,企業名,主要アクティビスト,保有%,推移Δpp,否決,条件,株価,PER,PBR,配当利回り%,株価日付,推移,メモ
1,継続,3963,株式会社シンクロ・フード,アセット・バリュー・インベスターズ・リミテッド,27.68,22.5,○,ABC,352.0,36.63,2.08,4.26,2026-08-10,25/03: 5.18% → 25/04: 6.74% → 25/04: 8.52% → 25/04: 10.06% → 25/05: 11.31% → 25/05: 12.81% → 25/06: 14.13% → 25/06: 15.21% → 25/07: 16.28% → 25/09: 17.29% → 25/09: 18.42% → 25/10: 19.52% → 25/11: 20.52% → 25/12: 23.27% → 25/12: 25.67% → 25/12: 26.68% → 26/05: 27.68% → 26/05: 27.68%,AVIが5%→28%。2026で3条件全該当・LIMも13%。継続中に激化
1,新規,7752,株式会社リコー,エフィッシモ キャピタル マネージメント ピーティーイー エルティーディー（Ｅｆｆｉｓｓｉｍｏ Ｃａｐｉｔａｌ Ｍａｎａｇｅｍｅｎｔ Ｐｔｅ Ｌｔｄ）,24.77,10.08,,A,1640.0,16.77,0.81,2.44,2026-08-10,24/03: 14.69% → 24/08: 15.92% → 24/09: 17.01% → 24/09: 18.14% → 24/10: 19.50% → 25/02: 20.92% → 25/04: 21.71% → 25/05: 22.82% → 25/07: 23.88% → 26/02: 24.77% → 26/03: 24.77% → 26/06: 24.77% → 26/06: 24.77%,エフィッシモ24.8%(2024から積増)。大型・賛成率低下
1,新規,9072,ニッコンホールディングス株式会社,Ｆａｒａｌｌｏｎ Ｃａｐｉｔａｌ Ｍａｎａｇｅｍｅｎｔ， Ｌ．Ｌ．Ｃ．,23.0,17.95,,A,5358.0,35.05,2.63,1.4,2026-08-10,25/01: 5.05% → 25/02: 6.20% → 25/02: 7.41% → 25/02: 8.54% → 25/03: 10.02% → 25/03: 13.80% → 25/03: 17.37% → 25/03: 19.72% → 26/04: 23.00%,Farallon5%→23%+Oasis。物流
1,継続,8129,東邦ホールディングス株式会社,３Ｄ Ｉｎｖｅｓｔｍｅｎｔ Ｐａｒｔｎｅｒｓ Ｐｔｅ． Ｌｔｄ．,21.19,16.13,,A,3771.0,13.91,0.9,4.38,2026-08-10,24/06: 5.06% → 24/07: 6.36% → 24/07: 7.37% → 24/07: 8.44% → 24/07: 9.46% → 24/07: 9.46% → 24/07: 10.58% → 24/08: 11.79% → 24/08: 13.10% → 24/08: 14.13% → 24/08: 15.26% → 24/09: 16.40% → 24/10: 17.44% → 24/11: 18.12% → 25/07: 19.13% → 25/08: 20.15% → 25/08: 21.19%,3D 5%→21.2%。医薬品卸
1,新規,4972,綜研化学株式会社,ＡＸＩＵＭ ＣＡＰＩＴＡＬ ＰＴＥ．ＬＴＤ．,20.23,13.51,,A,3300.0,13.53,1.32,2.27,2026-08-10,25/11: 6.72% → 25/11: 8.43% → 26/02: 10.19% → 26/02: 11.21% → 26/03: 12.64% → 26/03: 14.92% → 26/05: 16.23% → 26/06: 17.87% → 26/06: 18.93% → 26/07: 20.23%,AXIUM 6.7%→20.2%。化学中堅
1,新規,2371,株式会社カカクコム,Ｏａｓｉｓ Ｍａｎａｇｅｍｅｎｔ Ｃｏｍｐａｎｙ Ｌｔｄ．,19.52,14.29,,A,3720.0,39.14,11.32,1.34,2026-08-10,25/12: 5.23% → 26/03: 7.94% → 26/03: 12.11% → 26/05: 15.74% → 26/05: 17.17% → 26/05: 19.52% → 26/05: 19.52% → 26/07: 19.52%,Oasis 5%→19.5%。大型ネット。コーポレートガバナンス要求
1,新規,3401,帝人株式会社,エフィッシモ キャピタル マネージメント ピーティーイー エルティーディー（Ｅｆｆｉｓｓｉｍｏ Ｃａｐｉｔａｌ Ｍａｎａｇｅｍｅｎｔ Ｐｔｅ Ｌｔｄ）,19.26,13.23,,A,1764.5,,0.93,2.83,2026-08-10,24/07: 6.03% → 24/09: 7.67% → 24/11: 8.99% → 25/01: 10.03% → 25/06: 11.08% → 25/10: 12.12% → 25/11: 13.20% → 25/12: 14.21% → 26/03: 15.27% → 26/03: 15.29% → 26/03: 16.44% → 26/04: 17.53% → 26/04: 19.26%,エフィッシモ6%→19%。大型で存在感急拡大
1,継続,9684,株式会社スクウェア・エニックス・ホールディングス,３Ｄ Ｉｎｖｅｓｔｍｅｎｔ Ｐａｒｔｎｅｒｓ Ｐｔｅ． Ｌｔｄ．,18.53,13.06,,A,2871.0,34.95,2.97,2.75,2026-08-10,25/04: 5.47% → 25/05: 6.58% → 25/05: 7.73% → 25/05: 8.78% → 25/06: 9.79% → 25/06: 10.87% → 25/07: 11.93% → 25/07: 13.12% → 25/07: 14.36% → 25/12: 15.40% → 25/12: 16.48% → 26/02: 17.50% → 26/03: 18.53%,3D 5.5%→18.5%。スクエニ大型
1,新規,6333,株式会社ＴＥＩＫＯＫＵ,株式会社ヴァレックス・パートナーズ,18.42,5.26,○,AC,3130.0,11.78,1.53,4.25,2026-08-10,24/01: 13.16% → 24/06: 14.27% → 24/07: 15.32% → 24/08: 16.45% → 25/03: 18.73% → 25/08: 17.45% → 26/06: 18.42%,ヴァレックス18%。否決
1,継続,2329,株式会社東北新社,３Ｄ Ｉｎｖｅｓｔｍｅｎｔ Ｐａｒｔｎｅｒｓ Ｐｔｅ． Ｌｔｄ．,17.36,2.92,,A,499.0,9.86,0.8,5.42,2026-08-10,24/01: 14.44% → 24/01: 15.61% → 24/02: 16.64% → 24/03: 17.65% → 24/11: 17.36%,3D 17.4%。メディア(非公開化観測も)
